symbol,date,open,high,low,close,day_change,day_change_pct,volume
ASIANPAINT.NS,2025-07-28,2336.20,2366.40,2320.00,2359.60,23.40,1.00,650364
ASIANPAINT.NS,2025-07-29,2359.00,2418.30,2325.00,2401.50,42.50,1.80,1742815
ASIANPAINT.NS,2025-07-30,2409.00,2443.80,2366.50,2415.80,6.80,0.28,1685818
ASIANPAINT.NS,2025-07-31,2401.40,2417.20,2373.50,2396.10,-5.30,-0.22,1274655
BCLIND.NS,2025-07-01,42.38,42.82,41.58,41.83,-0.55,-1.30,503560
BCLIND.NS,2025-07-02,42.03,42.09,41.30,41.52,-0.51,-1.21,542199
BCLIND.NS,2025-07-03,41.66,41.82,41.02,41.30,-0.36,-0.86,453896
BCLIND.NS,2025-07-04,41.35,41.55,40.90,41.23,-0.12,-0.29,311360
BCLIND.NS,2025-07-07,41.29,41.96,41.00,41.13,-0.16,-0.39,403173
BCLIND.NS,2025-07-08,41.25,42.90,40.98,42.35,1.10,2.67,821379
BCLIND.NS,2025-07-09,42.41,42.49,41.60,41.71,-0.70,-1.65,265314
BCLIND.NS,2025-07-10,41.75,42.20,41.52,42.02,0.27,0.65,369434
BCLIND.NS,2025-07-11,42.19,42.73,41.58,41.86,-0.33,-0.78,388516
BCLIND.NS,2025-07-14,41.48,41.98,41.18,41.85,0.37,0.89,241834
BCLIND.NS,2025-07-15,42.10,42.44,41.76,42.08,-0.02,-0.05,422620
BCLIND.NS,2025-07-16,42.48,43.48,42.12,42.82,0.34,0.80,857107
BCLIND.NS,2025-07-17,42.82,44.01,42.82,43.24,0.42,0.98,832691
BCLIND.NS,2025-07-18,43.47,45.23,42.50,44.25,0.78,1.79,1201924
BCLIND.NS,2025-07-21,44.45,48.50,44.01,47.35,2.90,6.52,8342779
BCLIND.NS,2025-07-22,48.00,49.30,46.70,47.05,-0.95,-1.98,3997884
BCLIND.NS,2025-07-23,47.25,47.66,45.55,45.84,-1.41,-2.98,2134457
BCLIND.NS,2025-07-24,46.00,46.56,45.36,45.55,-0.45,-0.98,615348
BCLIND.NS,2025-07-25,45.85,45.85,44.32,44.55,-1.30,-2.84,769078
BCLIND.NS,2025-07-28,44.43,44.76,43.48,43.54,-0.89,-2.00,697835
BCLIND.NS,2025-07-29,43.37,45.69,42.97,45.24,1.87,4.31,835036
BCLIND.NS,2025-07-30,45.39,45.80,44.58,44.90,-0.49,-1.08,405367
BCLIND.NS,2025-07-31,44.00,45.27,43.02,43.98,-0.02,-0.05,604146
BERGEPAINT.NS,2025-07-01,595.25,598.00,586.85,594.05,-1.20,-0.20,871346
BERGEPAINT.NS,2025-07-02,591.00,598.15,584.30,594.85,3.85,0.65,762572
BERGEPAINT.NS,2025-07-03,594.80,605.00,593.10,600.15,5.35,0.90,764483
BERGEPAINT.NS,2025-07-04,600.00,603.50,593.70,596.00,-4.00,-0.67,363256
BERGEPAINT.NS,2025-07-07,592.10,600.00,583.70,585.90,-6.20,-1.05,330186
